Anno,Ateneo,Classe,Corso,GruppoCodice,Sesso,Iscritti
2018/2019,Bergamo,LM-37,Lingue e Letterature Europee e Panamericane,4,M,24
2018/2019,Bergamo,11,Lingue e Letterature Straniere,4,F,19
2018/2019,Bergamo,11,Lingue e Letterature Straniere,4,M,6
2018/2019,Bergamo,L-11,Lingue e Letterature Straniere Moderne,4,F,1914
2018/2019,Bergamo,L-11,Lingue e Letterature Straniere Moderne,4,M,419
2018/2019,Bergamo,99999,Lingue e letterature straniere,4,F,11
2018/2019,Bergamo,LM-77,"Management Internazionale, Imprenditorialita' e Finanza - International Management, Entrepreneurship And Finance",7,F,12
2018/2019,Bergamo,LM-77,"Management Internazionale, Imprenditorialita' e Finanza - International Management, Entrepreneurship And Finance",7,M,15
2018/2019,Bergamo,LM-77,"Management, Finanza e International Business",7,F,133
2018/2019,Bergamo,LM-77,"Management, Finanza e International Business",7,M,152
2018/2019,Bergamo,2,Operatore Giuridico d'Impresa,8,F,8
2018/2019,Bergamo,L-14,Operatore Giuridico d'Impresa,8,F,94
2018/2019,Bergamo,2,Operatore Giuridico d'Impresa,8,M,9
2018/2019,Bergamo,L-14,Operatore Giuridico d'Impresa,8,M,51
2018/2019,Bergamo,LM-49,Planning And Management Of Tourism Systems,7,F,93
2018/2019,Bergamo,LM-49,Planning And Management Of Tourism Systems,7,M,20
2018/2019,Bergamo,LM-49,Progettazione e Gestione dei Sistemi Turistici,7,F,17
2018/2019,Bergamo,LM-49,Progettazione e Gestione dei Sistemi Turistici,7,M,11
2018/2019,Bergamo,LM-51,Psicologia Clinica,6,F,164
2018/2019,Bergamo,LM-51,Psicologia Clinica,6,M,44
2018/2019,Bergamo,LM-51,Psicologica Clinica,6,F,206
2018/2019,Bergamo,LM-51,Psicologica Clinica,6,M,45
2018/2019,Bergamo,LM-85,Scienze Pedagogiche,1,F,442
2018/2019,Bergamo,LM-85,Scienze Pedagogiche,1,M,53
2018/2019,Bergamo,L-24,Scienze Psicologiche,6,F,760
2018/2019,Bergamo,L-24,Scienze Psicologiche,6,M,218
2018/2019,Bergamo,18,Scienze dell'Educazione,1,F,51
2018/2019,Bergamo,L-19,Scienze dell'Educazione,1,F,2238
2018/2019,Bergamo,18,Scienze dell'Educazione,1,M,10
2018/2019,Bergamo,L-19,Scienze dell'Educazione,1,M,316
2018/2019,Bergamo,L-20,Scienze della Comunicazione,5,F,918
2018/2019,Bergamo,L-20,Scienze della Comunicazione,5,M,453
2018/2019,Bergamo,LM-85 bis,Scienze della Formazione Primaria,1,F,323
2018/2019,Bergamo,LM-85 bis,Scienze della Formazione Primaria,1,M,23
2018/2019,Bergamo,34,Scienze e Tecniche Psicologiche delle Relazioni Interpersonali e delle Organizzazioni Sociali,6,F,22
2018/2019,Bologna,L-38,Acquacoltura e Igiene delle Produzioni Ittiche,13,F,80
2018/2019,Bologna,L-38,Acquacoltura e Igiene delle Produzioni Ittiche,13,M,87
2018/2019,Bologna,LM-29,Advanced Automotive Electronic Engineering,12,M,36
2018/2019,Bologna,LM-54,Advanced Cosmetic Sciences,9,F,15
2018/2019,Bologna,LM-12,Advanced Design,2,F,48
2018/2019,Bologna,LM-12,Advanced Design,2,M,43
2018/2019,Bologna,LM-20,Aerospace Engineering / Ingegneria Aerospaziale,12,F,22
2018/2019,Bologna,LM-20,Aerospace Engineering / Ingegneria Aerospaziale,12,M,94
2018/2019,Bologna,LM-77,Amministrazione e Gestione d'Impresa,7,F,120
2018/2019,Bologna,LM-77,Amministrazione e Gestione d'Impresa,7,M,105
2018/2019,Bologna,LM-75,Analisi e Gestione dell'Ambiente,9,F,68
2018/2019,Bologna,LM-75,Analisi e Gestione dell'Ambiente,9,M,47
2018/2019,Bologna,LM-1,Antropologia Culturale ed Etnologia,5,F,227
2018/2019,Bologna,LM-1,Antropologia Culturale ed Etnologia,5,M,116
2018/2019,Bologna,L-42,"Antropologia, Religioni, Civilta Orientali",3,F,243
2018/2019,Bologna,L-42,"Antropologia, Religioni, Civilta Orientali",3,M,113
2018/2019,Bologna,L-42,"Antropologia, Religioni, Civiltà Orientali",3,F,468
2018/2019,Bologna,L-42,"Antropologia, Religioni, Civiltà Orientali",3,M,196
2018/2019,Bologna,LM-2,Archeologia e Culture del Mondo Antico,3,F,139
2018/2019,Bologna,LM-2,Archeologia e Culture del Mondo Antico,3,M,66
2018/2019,Bologna,LM-04cu,Architettura,11,F,264
2018/2019,Bologna,LM-04cu,Architettura,11,M,196
2018/2019,Bologna,LM-89,Arti Visive,2,F,545
2018/2019,Bologna,LM-89,Arti Visive,2,M,110
2018/2019,Bologna,L/SNT4,Assistenza Sanitaria (Abilitante alla Professione Sanitaria di Assistente Sanitario),14,F,25
2018/2019,Bologna,L/SNT4,Assistenza Sanitaria (Abilitante alla Professione Sanitaria di Assistente Sanitario),14,M,7
2018/2019,Bologna,LM-58,Astrofisica e Cosmologia,9,F,42
2018/2019,Bologna,LM-58,Astrofisica e Cosmologia,9,M,67
2018/2019,Bologna,L-30,Astronomia,9,F,79
2018/2019,Bologna,L-30,Astronomia,9,M,144
2018/2019,Bologna,LM-25,Automation Engineering / Ingegneria dell'Automazione,12,F,18
2018/2019,Bologna,LM-25,Automation Engineering / Ingegneria dell'Automazione,12,M,180
2018/2019,Bologna,LM-2,"Beni Archeologici, Artistici e del Paesaggio: Storia, Tutela e Valorizzazione",3,F,45
2018/2019,Bologna,LM-89,"Beni Archeologici, Artistici e del Paesaggio: Storia, Tutela e Valorizzazione",2,F,102
2018/2019,Bologna,LM-89,"Beni Archeologici, Artistici e del Paesaggio: Storia, Tutela e Valorizzazione",2,M,11
2018/2019,Bologna,LM-2,"Beni Archeologici, Artistici e del Paesaggio: Storia, Tutela e Valorizzazione",3,M,24
2018/2019,Bologna,L-1,Beni Culturali,2,F,442
2018/2019,Bologna,L-1,Beni Culturali,2,M,116
2018/2019,Bologna,LM-6,Biodiversita ed Evoluzione,9,F,9
2018/2019,Bologna,LM-6,Biodiversita ed Evoluzione,9,M,6
2018/2019,Bologna,LM-6,Biodiversità ed Evoluzione,9,F,47
2018/2019,Bologna,LM-6,Biodiversità ed Evoluzione,9,M,26
2018/2019,Bologna,LM-6,Bioinformatics,9,F,21
2018/2019,Bologna,LM-6,Bioinformatics,9,M,31
2018/2019,Bologna,LM-6,Biologia Marina,9,F,49
2018/2019,Bologna,LM-6,Biologia Marina,9,M,27
2018/2019,Bologna,LM-6,Biologia Molecolare e Cellulare,9,F,48
2018/2019,Bologna,LM-6,Biologia Molecolare e Cellulare,9,M,31
2018/2019,Bologna,LM-6,Biologia della Salute,9,F,104
2018/2019,Bologna,LM-6,Biologia della Salute,9,M,25
2018/2019,Bologna,L-2,Biotecnologie,9,F,140
2018/2019,Bologna,L-2,Biotecnologie,9,M,105
2018/2019,Bologna,LM-09,Biotecnologie Animali,9,F,42
2018/2019,Bologna,LM-09,Biotecnologie Animali,9,M,14
2018/2019,Bologna,LM-09,Biotecnologie Farmaceutiche,9,F,62
2018/2019,Bologna,LM-09,Biotecnologie Farmaceutiche,9,M,28
2018/2019,Bologna,LM-09,Biotecnologie Mediche,9,F,52
2018/2019,Bologna,LM-09,Biotecnologie Mediche,9,M,20
2018/2019,Bologna,LM-8,Biotecnologie Molecolari e Industriali,9,F,25
2018/2019,Bologna,LM-8,Biotecnologie Molecolari e Industriali,9,M,42
2018/2019,Bologna,L-18,Business And Economics,7,M,12
2018/2019,Bologna,L-18,Business And Economics/Economia e Gestione di Impresa,7,F,256
2018/2019,Bologna,L-18,Business And Economics/Economia e Gestione di Impresa,7,M,200
2018/2019,Bologna,LM-54,Chimica,9,F,57
2018/2019,Bologna,LM-54,Chimica,9,M,79
2018/2019,Bologna,LM-71,Chimica Industriale,9,F,63
2018/2019,Bologna,L-27,Chimica Industriale,9,F,107
2018/2019,Bologna,LM-71,Chimica Industriale,9,M,113
2018/2019,Bologna,L-27,Chimica Industriale,9,M,207
2018/2019,Bologna,L-27,Chimica e Chimica dei Materiali,9,F,168
2018/2019,Bologna,L-27,Chimica e Chimica dei Materiali,9,M,203
2018/2019,Bologna,14/S,Chimica e Tecnologia Farmaceutiche,14,F,25
2018/2019,Bologna,LM-13,Chimica e Tecnologia Farmaceutiche,14,F,378
2018/2019,Bologna,14/S,Chimica e Tecnologia Farmaceutiche,14,M,14
2018/2019,Bologna,LM-13,Chimica e Tecnologia Farmaceutiche,14,M,166
2018/2019,Bologna,L-27,Chimica e Tecnologie per l'Ambiente e per i Materiali,9,F,28
2018/2019,Bologna,L-27,Chimica e Tecnologie per l'Ambiente e per i Materiali,9,F,34
2018/2019,Bologna,L-27,Chimica e Tecnologie per l'Ambiente e per i Materiali,9,M,42
2018/2019,Bologna,L-27,Chimica e Tecnologie per l'Ambiente e per i Materiali,9,M,57
2018/2019,Bologna,LM-65,"Cinema, Televisione e Produzione Multimediale",2,F,194
2018/2019,Bologna,LM-65,"Cinema, Televisione e Produzione Multimediale",2,M,148
2018/2019,Bologna,LM-23,Civil Engineering,11,F,37
2018/2019,Bologna,LM-23,Civil Engineering,11,M,112
2018/2019,Bologna,LM-59,Comunicazione Pubblica e d' Impresa,5,F,165
2018/2019,Bologna,LM-59,Comunicazione Pubblica e d' Impresa,5,M,75
2018/2019,Bologna,99999,Conservazione dei beni culturali,2,F,11
2018/2019,Bologna,LMR/02,Conservazione e Restauro dei Beni Culturali (Abilitante Ai Sensi del D.Lgs N.42/2004),3,F,44
2018/2019,Bologna,L-14,Consulente del Lavoro e delle Relazioni Aziendali,8,F,504
2018/2019,Bologna,L-14,Consulente del Lavoro e delle Relazioni Aziendali,8,M,288
2018/2019,Bologna,L-29,Controllo di Qualita dei Prodotti per la Salute,9,F,14
2018/2019,Bologna,LM-81,"Cooperazione Internazionale, Tutela dei Diritti Umani e dei Beni Etno-Culturali",5,F,28
2018/2019,Bologna,LM-81,"Cooperazione Internazionale, Tutela dei Diritti Umani e dei Beni Etno-Culturali",5,M,13
2018/2019,Bologna,L-3,Culture e Tecniche della Moda,2,F,617
2018/2019,Bologna,L-3,Culture e Tecniche della Moda,2,M,72
2018/2019,Bologna,23,"Dams - Discipline delle Arti, della Musica e dello Spettacolo",2,F,17
2018/2019,Bologna,L-3,"Dams - Discipline delle Arti, della Musica e dello Spettacolo",2,F,1226
2018/2019,Bologna,23,"Dams - Discipline delle Arti, della Musica e dello Spettacolo",2,M,8
2018/2019,Bologna,L-3,"Dams - Discipline delle Arti, della Musica e dello Spettacolo",2,M,791
2018/2019,Bologna,L-4,Design del Prodotto Industriale,2,F,143
2018/2019,Bologna,L-4,Design del Prodotto Industriale,2,M,148
2018/2019,Bologna,L/SNT3,Dietistica (Abilitante alla Professione Sanitaria di Dietista),14,F,30
2018/2019,Bologna,LM-43,Digital Humanities And Digital Knowledge,5,F,34
2018/2019,Bologna,LM-43,Digital Humanities And Digital Knowledge,5,M,14
2018/2019,Bologna,LM-77,Direzione Aziendale,7,F,92
2018/2019,Bologna,LM-77,Direzione Aziendale,7,M,163
2018/2019,Bologna,99999,"Discipline dell'arte, della musica e dello spettacolo",2,F,42
2018/2019,Bologna,99999,"Discipline dell'arte, della musica e dello spettacolo",2,M,38
2018/2019,Bologna,LM-45,Discipline della Musica e del Teatro,2,F,71
2018/2019,Bologna,LM-65,Discipline della Musica e del Teatro,2,F,77
2018/2019,Bologna,LM-65,Discipline della Musica e del Teatro,2,M,15
2018/2019,Bologna,LM-45,Discipline della Musica e del Teatro,2,M,47
2018/2019,Bologna,17,Economia Aziendale,7,F,6
2018/2019,Bologna,L-18,Economia Aziendale,7,F,243
2018/2019,Bologna,17,Economia Aziendale,7,M,7
2018/2019,Bologna,L-18,Economia Aziendale,7,M,470
2018/2019,Bologna,L-18,Economia del Turismo,7,F,13
2018/2019,Bologna,L-33,Economia del Turismo,7,F,326
2018/2019,Bologna,L-33,Economia del Turismo,7,M,173
2018/2019,Bologna,L-18,Economia dell'Impresa,7,F,244
2018/2019,Bologna,L-18,Economia dell'Impresa,7,M,266
2018/2019,Bologna,LM-77,Economia e Commercio,7,F,138
2018/2019,Bologna,L-18,Economia e Commercio,7,F,576
2018/2019,Bologna,LM-77,Economia e Commercio,7,M,97
2018/2019,Bologna,L-18,Economia e Commercio,7,M,569
2018/2019,Bologna,17,Economia e Commercio (Teledidattico),7,M,11
2018/2019,Bologna,LM-56,Economia e Diritto,7,F,78
2018/2019,Bologna,LM-56,Economia e Diritto,7,M,92
2018/2019,Bologna,L-33,Economia e Finanza,7,F,14
2018/2019,Bologna,L-33,Economia e Finanza,7,M,20
2018/2019,Bologna,LM-77,Economia e Management,7,F,114
2018/2019,Bologna,LM-77,Economia e Management,7,M,118
2018/2019,Bologna,L-25,Economia e Marketing Nel Sistema Agro-Industriale,13,F,84
2018/2019,Bologna,L-25,Economia e Marketing Nel Sistema Agro-Industriale,13,M,173
2018/2019,Bologna,LM-56,Economia e Politica Economica,7,F,78
2018/2019,Bologna,LM-56,Economia e Politica Economica,7,M,96
2018/2019,Bologna,LM-77,Economia e Professione,7,F,59
2018/2019,Bologna,LM-77,Economia e Professione,7,M,88
2018/2019,Bologna,99999,Economia e commercio,7,F,13
2018/2019,Bologna,99999,Economia e commercio,7,M,6
2018/2019,Bologna,99999,Economia e commercio,7,M,12
2018/2019,Bologna,L-33,"Economia, Mercati e Istituzioni",7,F,214
2018/2019,Bologna,L-33,"Economia, Mercati e Istituzioni",7,M,418
2018/2019,Bologna,LM-56,Economics,7,F,26
2018/2019,Bologna,LM-56,Economics,7,M,52
2018/2019,Bologna,L-33,Economics And Finance / Economia e Finanza,7,F,118
2018/2019,Bologna,L-33,Economics And Finance / Economia e Finanza,7,M,170
2018/2019,Bologna,18,Educatore Professionale,1,F,11
2018/2019,Bologna,18,Educatore Sociale,1,F,8
2018/2019,Bologna,L-19,Educatore Sociale e Culturale,1,F,392
2018/2019,Bologna,L-19,Educatore Sociale e Culturale,1,F,686
2018/2019,Bologna,L-19,Educatore Sociale e Culturale,1,M,88
2018/2019,Bologna,L-19,Educatore Sociale e Culturale,1,M,148
2018/2019,Bologna,18,Educatore di Nido e di Comunita Infantile,1,F,11
2018/2019,Bologna,L-19,Educatore nei Servizi per l'Infanzia,1,F,823
2018/2019,Bologna,L-19,Educatore nei Servizi per l'Infanzia,1,M,16
2018/2019,Bologna,L/SNT2,Educazione Professionale (Abilitante alla Professione Sanitaria di Educatore Professionale),14,F,82
2018/2019,Bologna,L/SNT2,Educazione Professionale (Abilitante alla Professione Sanitaria di Educatore Professionale),14,M,25
2018/2019,Bologna,99999,Farmacia,14,F,8
2018/2019,Bologna,14/S,Farmacia,14,F,21
2018/2019,Bologna,14/S,Farmacia,14,F,50
2018/2019,Bologna,LM-13,Farmacia,14,F,265
2018/2019,Bologna,LM-13,Farmacia,14,F,541
2018/2019,Bologna,14/S,Farmacia,14,M,6
2018/2019,Bologna,14/S,Farmacia,14,M,18
2018/2019,Bologna,LM-13,Farmacia,14,M,68
2018/2019,Bologna,LM-13,Farmacia,14,M,173
2018/2019,Bologna,LM-65,Fashion Culture And Management,2,F,59
2018/2019,Bologna,LM-65,Fashion Culture And Management,2,M,13
2018/2019,Bologna,LM-15,"Filologia, Letteratura e Tradizione Classica",3,F,146
2018/2019,Bologna,LM-15,"Filologia, Letteratura e Tradizione Classica",3,M,62
2018/2019,Bologna,29,Filosofia,3,F,7
2018/2019,Bologna,99999,Filosofia,3,F,19
2018/2019,Bologna,L-5,Filosofia,3,F,453
2018/2019,Bologna,29,Filosofia,3,M,7
2018/2019,Bologna,99999,Filosofia,3,M,9
2018/2019,Bologna,L-5,Filosofia,3,M,516
2018/2019,Bologna,L-41,"Finanza, Assicurazioni e Impresa",9,F,47
2018/2019,Bologna,L-41,"Finanza, Assicurazioni e Impresa",9,M,123
2018/2019,Bologna,LM-16,"Finanza, Intermediari e Mercati",7,F,52
2018/2019,Bologna,LM-16,"Finanza, Intermediari e Mercati",7,M,168
2018/2019,Bologna,LM-17,Fisica,9,F,30
2018/2019,Bologna,L-30,Fisica,9,F,115
2018/2019,Bologna,LM-17,Fisica,9,M,119
2018/2019,Bologna,L-30,Fisica,9,M,384
2018/2019,Bologna,LM-17,Fisica del Sistema Terra,9,F,26
2018/2019,Bologna,LM-17,Fisica del Sistema Terra,9,M,47
2018/2019,Bologna,L/SNT2,Fisioterapia (Abilitante alla Professione Sanitaria di Fisioterapista),14,F,83
2018/2019,Bologna,L/SNT2,Fisioterapia (Abilitante alla Professione Sanitaria di Fisioterapista),14,M,102
2018/2019,Bologna,LM-54,Fotochimica e Materiali Molecolari,9,F,19
2018/2019,Bologna,LM-54,Fotochimica e Materiali Molecolari,9,M,38
2018/2019,Bologna,L-2,Genomics,9,F,57
2018/2019,Bologna,L-2,Genomics,9,M,19
2018/2019,Bologna,LM-80,Geografia e Processi Territoriali,5,F,35
2018/2019,Bologna,LM-80,Geografia e Processi Territoriali,5,M,36
2018/2019,Bologna,LM-74,Geologia e Territorio,9,F,33
2018/2019,Bologna,LM-74,Geologia e Territorio,9,M,48
2018/2019,Bologna,99999,Giurisprudenza,8,F,138
2018/2019,Bologna,LMG/01,Giurisprudenza,8,F,297
2018/2019,Bologna,LMG/01,Giurisprudenza,8,F,3730
2018/2019,Bologna,99999,Giurisprudenza,8,M,79
2018/2019,Bologna,LMG/01,Giurisprudenza,8,M,143
2018/2019,Bologna,LMG/01,Giurisprudenza,8,M,2050
2018/2019,Bologna,L-14,Giurista d'Impresa e delle Amministrazioni Pubbliche,8,F,137
2018/2019,Bologna,L-14,Giurista d'Impresa e delle Amministrazioni Pubbliche,8,M,76
2018/2019,Bologna,L-14,Giurista per le Imprese e per la Pubblica Amministrazione,8,F,134
2018/2019,Bologna,L-14,Giurista per le Imprese e per la Pubblica Amministrazione,8,M,69
2018/2019,Bologna,LM-56,Health Economics And Management / Economia Sanitaria e Management,7,F,60
2018/2019,Bologna,LM-56,Health Economics And Management / Economia Sanitaria e Management,7,M,42
2018/2019,Bologna,L/SNT3,Igiene Dentale (Abilitante alla Professione Sanitaria di Igienista Dentale),14,F,41
2018/2019,Bologna,L/SNT3,Igiene Dentale (Abilitante alla Professione Sanitaria di Igienista Dentale),14,M,8
2018/2019,Bologna,SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),14,F,8
2018/2019,Bologna,SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),14,F,11
2018/2019,Bologna,L/SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),14,F,301
2018/2019,Bologna,L/SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),14,F,411
2018/2019,Bologna,L/SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),14,F,511
2018/2019,Bologna,SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),14,M,7
2018/2019,Bologna,L/SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),14,M,62
2018/2019,Bologna,L/SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),14,M,128
2018/2019,Bologna,L/SNT1,Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),14,M,133
2018/2019,Bologna,LM-18,Informatica,10,F,26
2018/2019,Bologna,L-31,Informatica,10,F,57
2018/2019,Bologna,26,Informatica,10,M,9
2018/2019,Bologna,LM-18,Informatica,10,M,122
2018/2019,Bologna,L-31,Informatica,10,M,422
2018/2019,Bologna,L-31,Informatica per il Management,10,F,108
2018/2019,Bologna,L-31,Informatica per il Management,10,M,266
2018/2019,Bologna,L-9,Ingegneria Aerospaziale,12,F,76
2018/2019,Bologna,10,Ingegneria Aerospaziale,12,M,10
2018/2019,Bologna,L-9,Ingegneria Aerospaziale,12,M,312
2018/2019,Bologna,LM-21,Ingegneria Biomedica,12,F,85
2018/2019,Bologna,L-8,Ingegneria Biomedica,12,F,242
2018/2019,Bologna,LM-21,Ingegneria Biomedica,12,M,66
2018/2019,Bologna,L-8,Ingegneria Biomedica,12,M,256
2018/2019,Bologna,L-9,Ingegneria Chimica e Biochimica,12,F,201
2018/2019,Bologna,L-9,Ingegneria Chimica e Biochimica,12,M,243
2018/2019,Bologna,LM-22,Ingegneria Chimica e di Processo,12,F,119
2018/2019,Bologna,LM-22,Ingegneria Chimica e di Processo,12,M,139
2018/2019,Bologna,LM-23,Ingegneria Civile,11,F,98
2018/2019,Bologna,L-7,Ingegneria Civile,11,F,122
2018/2019,Bologna,8,Ingegneria Civile,11,M,15
2018/2019,Bologna,L-7,Ingegneria Civile,11,M,230
2018/2019,Bologna,LM-23,Ingegneria Civile,11,M,247
2018/2019,Bologna,L-23,Ingegneria Edile,11,F,71
2018/2019,Bologna,L-23,Ingegneria Edile,11,M,98
2018/2019,Bologna,4/S,Ingegneria Edile-Architettura,11,F,31
2018/2019,Bologna,LM-04cu,Ingegneria Edile-Architettura,11,F,322
2018/2019,Bologna,4/S,Ingegneria Edile-Architettura,11,M,42
2018/2019,Bologna,LM-04cu,Ingegneria Edile-Architettura,11,M,240
2018/2019,Bologna,10,Ingegneria Elettrica,12,M,8
2018/2019,Bologna,L-9,Ingegneria Elettrica,12,M,8
2018/2019,Bologna,LM-29,Ingegneria Elettronica,12,F,31
2018/2019,Bologna,9,Ingegneria Elettronica,12,M,8
2018/2019,Bologna,LM-29,Ingegneria Elettronica,12,M,123
2018/2019,Bologna,L-8,Ingegneria Elettronica e Telecomunicazioni,12,F,57
2018/2019,Bologna,L-8,Ingegneria Elettronica e Telecomunicazioni,12,M,270
2018/2019,Bologna,LM-29,Ingegneria Elettronica e Telecomunicazioni per l'Energia,12,M,33
2018/2019,Bologna,L-8,Ingegneria Elettronica per l'Energia e l'Informazione,12,F,23
2018/2019,Bologna,L-8,Ingegneria Elettronica per l'Energia e l'Informazione,12,M,128
2018/2019,Bologna,LM-30,Ingegneria Energetica,12,F,67
2018/2019,Bologna,L-9,Ingegneria Energetica,12,F,109
2018/2019,Bologna,LM-30,Ingegneria Energetica,12,M,180
2018/2019,Bologna,L-9,Ingegneria Energetica,12,M,389
2018/2019,Bologna,LM-31,Ingegneria Gestionale,12,F,201
2018/2019,Bologna,L-9,Ingegneria Gestionale,12,F,290
2018/2019,Bologna,10,Ingegneria Gestionale,12,M,6
2018/2019,Bologna,LM-31,Ingegneria Gestionale,12,M,293
2018/2019,Bologna,L-9,Ingegneria Gestionale,12,M,618
2018/2019,Bologna,LM-32,Ingegneria Informatica,12,F,33
2018/2019,Bologna,L-8,Ingegneria Informatica,12,F,94
2018/2019,Bologna,9,Ingegneria Informatica,12,M,6
2018/2019,Bologna,9,Ingegneria Informatica,12,M,12
2018/2019,Bologna,LM-32,Ingegneria Informatica,12,M,213
2018/2019,Bologna,L-8,Ingegneria Informatica,12,M,662
2018/2019,Bologna,LM-33,Ingegneria Meccanica,12,F,7
2018/2019,Bologna,L-9,Ingegneria Meccanica,12,F,25
2018/2019,Bologna,LM-33,Ingegneria Meccanica,12,F,45
2018/2019,Bologna,L-9,Ingegneria Meccanica,12,F,72
2018/2019,Bologna,10,Ingegneria Meccanica,12,M,15
2018/2019,Bologna,10,Ingegneria Meccanica,12,M,16
2018/2019,Bologna,LM-33,Ingegneria Meccanica,12,M,71
2018/2019,Bologna,L-9,Ingegneria Meccanica,12,M,343
2018/2019,Bologna,LM-33,Ingegneria Meccanica,12,M,417
2018/2019,Bologna,L-9,Ingegneria Meccanica,12,M,666
2018/2019,Bologna,L-8,Ingegneria Meccatronica,12,M,43
2018/2019,Bologna,99999,Ingegneria civile,11,F,6
2018/2019,Bologna,99999,Ingegneria civile,11,M,21
2018/2019,Bologna,LM-24,Ingegneria dei Processi e dei Sistemi Edilizi,11,F,58
2018/2019,Bologna,LM-24,Ingegneria dei Processi e dei Sistemi Edilizi,11,M,65
2018/2019,Bologna,L-8,Ingegneria dell'Automazione,12,F,70
2018/2019,Bologna,L-8,Ingegneria dell'Automazione,12,M,464
2018/2019,Bologna,LM-28,Ingegneria dell'Energia Elettrica,12,F,24
2018/2019,Bologna,L-9,Ingegneria dell'Energia Elettrica,12,F,37
2018/2019,Bologna,LM-28,Ingegneria dell'Energia Elettrica,12,M,137
2018/2019,Bologna,L-9,Ingegneria dell'Energia Elettrica,12,M,242
2018/2019,Bologna,LM-27,Ingegneria delle Telecomunicazioni,12,M,7
2018/2019,Bologna,LM-32,Ingegneria e Scienze Informatiche,12,F,31
2018/2019,Bologna,L-8,Ingegneria e Scienze Informatiche,12,F,50
2018/2019,Bologna,L-31,Ingegneria e Scienze Informatiche,10,F,52
2018/2019,Bologna,LM-18,Ingegneria e Scienze Informatiche,10,M,18
2018/2019,Bologna,LM-32,Ingegneria e Scienze Informatiche,12,M,134
2018/2019,Bologna,L-8,Ingegneria e Scienze Informatiche,12,M,279
2018/2019,Bologna,L-31,Ingegneria e Scienze Informatiche,10,M,320
2018/2019,Bologna,99999,Ingegneria edile,11,M,9
2018/2019,Bologna,99999,Ingegneria elettronica,12,M,25
2018/2019,Bologna,99999,Ingegneria gestionale,12,M,7
2018/2019,Bologna,99999,Ingegneria informatica,12,M,9
2018/2019,Bologna,99999,Ingegneria meccanica,12,M,19
2018/2019,Bologna,LM-35,Ingegneria per l'Ambiente e il Territorio,11,F,91
2018/2019,Bologna,L-7,Ingegneria per l'Ambiente e il Territorio,11,F,109
2018/2019,Bologna,LM-35,Ingegneria per l'Ambiente e il Territorio,11,M,138
2018/2019,Bologna,L-7,Ingegneria per l'Ambiente e il Territorio,11,M,158
2018/2019,Bologna,LM-76,Innovation And Organization Of Culture And The Arts,7,F,54
2018/2019,Bologna,LM-76,Innovation And Organization Of Culture And The Arts,7,M,10
2018/2019,Bologna,LM-52,Interdisciplinary Research And Studies On Eastern Europe,5,F,50
2018/2019,Bologna,LM-52,Interdisciplinary Research And Studies On Eastern Europe,5,M,26
2018/2019,Bologna,LM-81,International Cooperation On Human Rights And Intercultural Heritage,5,F,69
2018/2019,Bologna,LM-81,International Cooperation On Human Rights And Intercultural Heritage,5,M,19
2018/2019,Bologna,LM-69,International Horticultural Science/ortofrutticoltura Internazionale,13,F,34
2018/2019,Bologna,LM-69,International Horticultural Science/ortofrutticoltura Internazionale,13,M,59
2018/2019,Bologna,LM-62,International Politics And Markets,5,F,18
2018/2019,Bologna,LM-62,International Politics And Markets,5,M,12
2018/2019,Bologna,LM-94,Interpretazione,4,F,60
2018/2019,Bologna,LM-94,Interpretazione,4,M,9
2018/2019,Bologna,LM-14,"Italianistica, Culture Letterarie Europee, Scienze Linguistiche",3,F,718
2018/2019,Bologna,LM-14,"Italianistica, Culture Letterarie Europee, Scienze Linguistiche",3,M,293
2018/2019,Bologna,LM-38,"Language, Society And Communication/Lingua, Societa' e Comunicazione",4,F,350
2018/2019,Bologna,LM-38,"Language, Society And Communication/Lingua, Societa' e Comunicazione",4,M,50
2018/2019,Bologna,LM-37,"Letterature Moderne, Comparate e Postcoloniali",4,F,291
2018/2019,Bologna,LM-37,"Letterature Moderne, Comparate e Postcoloniali",4,M,62
2018/2019,Bologna,5,Lettere,3,F,14
2018/2019,Bologna,99999,Lettere,3,F,42
2018/2019,Bologna,L-10,Lettere,3,F,1590
2018/2019,Bologna,99999,Lettere,3,M,9
2018/2019,Bologna,L-10,Lettere,3,M,645
2018/2019,Bologna,LM-39,Lingua e Cultura Italiane per Stranieri,4,F,329
2018/2019,Bologna,LM-39,Lingua e Cultura Italiane per Stranieri,4,M,74
2018/2019,Bologna,11,Lingue e Letterature Straniere,4,F,12
2018/2019,Bologna,L-11,Lingue e Letterature Straniere,4,F,1140
2018/2019,Bologna,L-11,Lingue e Letterature Straniere,4,M,317
2018/2019,Bologna,99999,Lingue e letterature straniere,4,F,38
